src,satb,articulation,instrument,duration_s,dest
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.C2-PB.wav,B,pizzicato,Basses,2.11,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.C2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.C3-PB.wav,B,pizzicato,Basses,2.26,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.C3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.D2-PB.wav,B,pizzicato,Basses,3.35,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.D2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Db2-PB.wav,B,pizzicato,Basses,2.1,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Db2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Db3-PB.wav,B,pizzicato,Basses,1.81,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Db3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.E2-PB.wav,B,pizzicato,Basses,2.24,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.E2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Eb1-PB.wav,B,pizzicato,Basses,2.17,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Eb1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Eb2-PB.wav,B,pizzicato,Basses,3.18,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Eb2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.F1-PB.wav,B,pizzicato,Basses,3.02,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.F1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.F2-PB.wav,B,pizzicato,Basses,2.99,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.F2-PB.wav
